"NAME","PROTONS","CHARGE","MAGNESIUMS","SMARTS","FOCAL_ATOMS","REMARK","SKIP"
"two fused rings -N<",0,0,0,"[N;H0;R2;+0]","All","participating in two fused rings",
"two fused rings =N<",0,1,0,"[N;H0;R2;+1]","All","participating in two fused rings",
"ring =N<",0,1,0,"[N;H0;X3;R1;+1]=[C,N]",0,"double bond and one single bond participating in a ring",
"-N-",2,1,0,"[N;H2;X4;R0;+1]","All",,
"-N-",1,0,0,"[N;H1;X3;R0;+0]","All",,
"-N-",0,-1,0,"[N;H0;X2;R0;-1]","All",,
"ring =N-",1,1,0,"[N;H1;X3;R1;+1]=[C,c,N,n]",0,"participating in a ring",
"ring =N-",0,0,0,"[N;H0;X2;R1;+0]=[C,c,N,n]",0,"participating in a ring",
"ring -N-",2,1,0,"[N;H2;X4;R1;+1]","All","participating in a ring",
"ring -N-",1,0,0,"[N;H1;X3;R1;+0]","All","participating in a ring",
"ring -N-",0,-1,0,"[N;H0;X2;R1;-1]","All","participating in a ring",
"ring -N<",1,1,0,"[N;H1;X4;R1;+1]","All","participating in a ring",
"ring -N<",0,0,0,"[N;H0;X3;R1;+0]","All","participating in a ring",
"=N",2,1,0,"[N;H2;+1]=[C,c,N,n]",0,,
"=N",1,0,0,"[N;H1;+0]=[C,c,N,n]",0,,
"ring N-CO-N",0,0,0,"N[C;H0;X3;R1;+0](=O)N","1|2","urea participating in a ring",
"N-CO-N",0,0,0,"NC(=O)N","1|2","urea",
"N-COO",1,0,0,"NC(=O)[OH]","1|2|3","carbamate",
"N-COO",0,-1,0,"NC(=O)[O-]","1|2|3","carbamate",
"N-COO-",0,0,0,"NC(=O)O[C,c,N,n]","1|2|3","carbamoyl",
"N-CO",1,0,0,"N[C;H1;X3;+0]=O","1|2","formamide",
"-N-CO-",0,0,0,"[C,c,N,n]N[C;H0;X3;+0](=O)[C,c,N,n]","2|3","amide",
"N-CO-",0,0,0,"[N;H2;X3;+0][C;H0;X3;+0](=O)[C,c,N,n]","1|2","carboxamide",
"-N",3,1,0,"C[N;H3;X4;+1]","1","primary amine",
"-N",2,0,0,"C[N;H2;X3;+0]","1","primary amine",
"-N",1,-1,0,"C[N;H1;X2;-1]","1","primary amine",
"ring >c-N",2,0,0,"c[N;H2;X3;+0]","1","primary amine on aromatic ring",
"ring >c-N",3,1,0,"c[N;H3;X4;+1]","1","primary amine on aromatic ring",
"-N<",1,1,0,"[N;H1;X4;R0]","All",,
"-N<",0,0,0,"[N;H0;X3;R0]","All",,
"=N-",0,0,0,"[N;H0;X2;R0;+0]=[C,c,N,n,O]",0,,
"=N-",1,1,0,"[N;H1;X3;R0;+1]=[C,c,N,n,O]",0,,
">N<",0,1,0,"[N;H0;X4;R0]","All",,
"=N=O",0,1,0,"[C,c,N,n]=[N+]=O","1|2",,
"-O-CO-O-",0,0,0,"[O;H0;X2][C;H0;X3](=O)[O;H0;X2]","All","carbonate",
"ring -o-cO-",0,0,0,"O=[c;H0;X3;R][o;H0;X2;R]","All","ester (participating in an aromatic ring)",
"ring -O-CO-",0,0,0,"O=[C;H0;X3;R][O;H0;X2;R]","All","ester (participating in a nonaromatic ring)",
"-O-CO-",0,0,0,"[C;H0;X3](=O)[O;H0;X2]","All","ester",
"-O-C=O",0,0,0,"[C;H1;X3](=O)[O;H0;X2]","All","ester (terminal)",
"ring >c-O",1,0,0,"c~[O;+0]","All","hydroxyl (participating in an aromatic ring)",
"ring >c-O",0,-1,0,"c~[O;-1]","All","hydroxyl (participating in an aromatic ring)",
"ring >C=O",0,0,0,"[CR]=O","All","ketone (participating in a ring)",
"ring >C-O",2,0,0,"[CR;H1][O;H1]","All","ketone (participating in a ring)",
"ring >C(-O)-",1,0,0,"[CR;H0][O;H1;+0]","All","tertiary hydroxyl (participating in a ring)",
"ring >C(-O)-",0,-1,0,"[CR;H0][O;H0;-1]","All","tertiary hydroxyl (participating in a ring)",
"-COO",0,-1,0,"[C,c,N,n]C(=O)[O-]","1|2|3","carboxylate",
"-COO",1,0,0,"[C,c,N,n]C(=O)[OH]","1|2|3","carboxylic acid",
">C=O",0,0,0,"[C,N,c,n]C(=O)[C,N,c,n]","1|2","ketone",
"-C=O",1,0,0,"[C,N,c,n][C;H1]=O","1|2","aldehyde",
"ring -o-",0,0,0,"[c,n][o;H0;X2][c,n]","1","participating in an aromatic ring",
"ring -O-",0,0,0,"[C,c,N,n][O;H0;X2;R][C,c,N,n]","1","participating in a nonaromatic ring",
"-C-O",3,0,0,"[C;H2][O;H1;+0]","All","primary hydroxyl",
"-C-O",2,-1,0,"[C;H2][O;H0;-1]","All","primary hydroxyl",
"-C(-O)-",2,0,0,"[C;H1][O;H1;+0]","All","secondary hydroxyl",
"-C(-O)-",1,-1,0,"[C;H1][O;H0;-1]","All","secondary hydroxyl",
">C(-O)-",1,0,0,"[C;H0][O;H1;+0]","All","tertiary hydroxyl",
">C(-O)-",0,-1,0,"[C;H0][O;H0;-1]","All","tertiary hydroxyl",
"[N]-O",1,0,0,"N[O;H1;X2]","1","hydroxamine",
"[N]-O",0,-1,0,"N[O;H0;X1;-1]","1","hydroxamine",
"-O-",0,0,0,"[O;H0;X2]","All","ether",
"-C#C-",1,0,0,"[C;H0;X2]#[C;H0;X2]","All",,
"-C#C",1,0,0,"[C;H0;X2]#[C;H1;X2;+0]","All",,
"-C#C",0,-1,0,"[C;H0;X2]#[C;H0;X1;-1]","All",,
"N#C-",0,0,0,"N#[C;H0;X2]","All",,
"3-ring =c<",0,0,0,"[a][c;H0;R3]([a])[a]","1","participating in 3 aromatic rings",
"2-ring >C<",0,0,0,"[A][C;H0;R2]([A])([A])[A]",1,"quaternary carbon participating in two fused aliphatic rings",
"2-ring -C<",1,0,0,"[A][C;H1;R2]([A])[A]",1,"tertiary carbon participating in two fused aliphatic rings",
"2-ring -C-",2,0,0,"[A][C;H2;R2][A]",1,"secondary carbon (participating in two fused aliphatic rings)",
"2-ring =C<",0,0,0,"[A]=[C;H0;R2]([A])[A]",1,"participating in two fused aliphatic rings",
"(1+1)-ring =C<",0,0,0,"[a][c;H0;R2]([a])[A]",1,"participating in two fused aliphatic+aromatic rings",
"2-ring =c<",0,0,0,"[a][c;R2]([a])[a]","1","participating in two fused aromatic rings",
"ring =c-",1,0,0,"[a][c;H1;R1][a]","1","participating in one aromatic ring",
"ring =c<",0,0,0,"[a][c;H0;R1]([a])*","1","one single bond and one double bond participating in an aromatic ring",
"ring =C<",0,0,0,"[A]=[C;H0;R1]([A])[A]","1","one single bond and one double bond participating in a aliphatic ring",
"ring =C-",1,0,0,"[A]=[C;H1;R1][A]","1","participating in a aliphatic ring",
"=C-",1,0,0,"[C,c,N,n]=[C;H1]*","1",,
"=C",2,0,0,"[C,c,N,n]=[C;H2]","1",,
"=C<",0,0,0,"[C,c,N,n]=[C;H0](*)*","1",,
"ring >C<",0,0,0,"*[C;H0;R1](*)(*)*","1","quaternary carbon (participating in one aliphatic ring)",
">C<",0,0,0,"*[C;H0;R0](*)(*)*","1","quaternary carbon",
"ring -C<",1,0,0,"*[C;H1;R1](*)*","1","tertiary carbon (participating in one aliphatic ring)",
"-C<",1,0,0,"*[C;H1;R0](*)*","1","tertiary carbon",
"ring -C-",2,0,0,"*[C;H2;R1]*","1","secondary carbon (participating in one aliphatic ring)",
"-C-",2,0,0,"*[C;H2;R0]*","1","secondary carbon",
"-C",3,0,0,"*[C;H3]","1","primary carbon",
